-3.141592653589793116e+00,-1.224646799147353207e-16
-3.140592653589793226e+00,-9.999998333333540417e-04
-3.139592653589793336e+00,-1.999998666666835678e-03
-3.138592653589793446e+00,-2.999995500001816952e-03
-3.137592653589793557e+00,-3.999989333341548610e-03
-3.136592653589793667e+00,-4.999979166692280520e-03
-3.135592653589793777e+00,-5.999964000064261956e-03
-3.134592653589793887e+00,-6.999942833472743396e-03
-3.133592653589793997e+00,-7.999914666938974864e-03
-3.132592653589794107e+00,-8.999878500491205122e-03
-3.131592653589794217e+00,-9.999833334165686080e-03
-3.130592653589794327e+00,-1.099977816800766506e-02
-3.129592653589794438e+00,-1.199971200207239352e-02
-3.128592653589794548e+00,-1.299963383642611936e-02
-3.127592653589794658e+00,-1.399954267114709300e-02
-3.126592653589794768e+00,-1.499943750632656142e-02
-3.125592653589794878e+00,-1.599931734206977429e-02
-3.124592653589794988e+00,-1.699918117849697624e-02
-3.123592653589795098e+00,-1.799902801574441991e-02
-3.122592653589795209e+00,-1.899885685396534435e-02
-3.121592653589795319e+00,-1.999866669333099853e-02
-3.120592653589795429e+00,-2.099845653403162662e-02
-3.119592653589795539e+00,-2.199822537627747071e-02
-3.118592653589795649e+00,-2.299797222029977342e-02
-3.117592653589795759e+00,-2.399769606635177022e-02
-3.116592653589795869e+00,-2.499739591470969899e-02
-3.115592653589795979e+00,-2.599707076567379926e-02
-3.114592653589796090e+00,-2.699671961956930100e-02
-3.113592653589796200e+00,-2.799634147674743070e-02
-3.112592653589796310e+00,-2.899593533758641414e-02
-3.111592653589796420e+00,-2.999550020249247897e-02
-3.110592653589796530e+00,-3.099503507190084356e-02
-3.109592653589796640e+00,-3.199453894627671269e-02
-3.108592653589796750e+00,-3.299401082611631147e-02
-3.107592653589796861e+00,-3.399344971194782211e-02
-3.106592653589796971e+00,-3.499285460433246286e-02
-3.105592653589797081e+00,-3.599222450386541095e-02
-3.104592653589797191e+00,-3.699155841117685722e-02
-3.103592653589797301e+00,-3.799085532693297074e-02
-3.102592653589797411e+00,-3.899011425183692564e-02
-3.101592653589797521e+00,-3.998933418662987960e-02
-3.100592653589797631e+00,-4.098851413209197991e-02
-3.099592653589797742e+00,-4.198765308904336274e-02
-3.098592653589797852e+00,-4.298675005834515228e-02
-3.097592653589797962e+00,-4.398580404090046692e-02
-3.096592653589798072e+00,-4.498481403765540454e-02
-3.095592653589798182e+00,-4.598377904960005563e-02
-3.094592653589798292e+00,-4.698269807776949553e-02
-3.093592653589798402e+00,-4.798157012324476278e-02
-3.092592653589798513e+00,-4.898039418715390697e-02
-3.091592653589798623e+00,-4.997916927067295317e-02
-3.090592653589798733e+00,-5.097789437502688731e-02
-3.089592653589798843e+00,-5.197656850149069696e-02
-3.088592653589798953e+00,-5.297519065139033589e-02
-3.087592653589799063e+00,-5.397375982610373713e-02
-3.086592653589799173e+00,-5.497227502706180519e-02
-3.085592653589799284e+00,-5.597073525574943614e-02
-3.084592653589799394e+00,-5.696913951370646823e-02
-3.083592653589799504e+00,-5.796748680252874347e-02
-3.082592653589799614e+00,-5.896577612386903755e-02
-3.081592653589799724e+00,-5.996400647943812834e-02
-3.080592653589799834e+00,-6.096217687100573268e-02
-3.079592653589799944e+00,-6.196028630040154722e-02
-3.078592653589800054e+00,-6.295833376951621985e-02
-3.077592653589800165e+00,-6.395631828030237664e-02
-3.076592653589800275e+00,-6.495423883477557947e-02
-3.075592653589800385e+00,-6.595209443501535984e-02
-3.074592653589800495e+00,-6.694988408316621120e-02
-3.073592653589800605e+00,-6.794760678143854649e-02
-3.072592653589800715e+00,-6.894526153210976671e-02
-3.071592653589800825e+00,-6.994284733752519079e-02
-3.070592653589800936e+00,-7.094036320009912411e-02
-3.069592653589801046e+00,-7.193780812231576061e-02
-3.068592653589801156e+00,-7.293518110673026522e-02
-3.067592653589801266e+00,-7.393248115596974535e-02
-3.066592653589801376e+00,-7.492970727273422227e-02
-3.065592653589801486e+00,-7.592685845979768589e-02
-3.064592653589801596e+00,-7.692393372000901064e-02
-3.063592653589801706e+00,-7.792093205629302410e-02
-3.062592653589801817e+00,-7.891785247165146455e-02
-3.061592653589801927e+00,-7.991469396916402179e-02
-3.060592653589802037e+00,-8.091145555198926698e-02
-3.059592653589802147e+00,-8.190813622336570732e-02
-3.058592653589802257e+00,-8.290473498661274365e-02
-3.057592653589802367e+00,-8.390125084513171128e-02
-3.056592653589802477e+00,-8.489768280240682363e-02
-3.055592653589802588e+00,-8.589402986200619927e-02
-3.054592653589802698e+00,-8.689029102758287493e-02
-3.053592653589802808e+00,-8.788646530287576308e-02
-3.052592653589802918e+00,-8.888255169171067893e-02
-3.051592653589803028e+00,-8.987854919800129794e-02
-3.050592653589803138e+00,-9.087445682575021055e-02
-3.049592653589803248e+00,-9.187027357904987979e-02
-3.048592653589803358e+00,-9.286599846208362652e-02
-3.047592653589803469e+00,-9.386163047912664259e-02
-3.046592653589803579e+00,-9.485716863454700387e-02
-3.045592653589803689e+00,-9.585261193280662784e-02
