timestamp,actual_x,actual_y,estimated_x,estimated_y,ap0_angle,ap1_angle
-50.0,,,,,
0.0,0.4955,0.1025,0.4759,0.0819,
50.0,0.4946,0.1040,0.4782,0.0843,
100.0,0.4931,0.1046,0.4773,0.0851,
150.0,0.4923,0.1049,0.4791,0.0871,
200.0,0.4914,0.1064,0.4783,0.0878,
250.0,0.4904,0.1074,0.4775,0.0869,
300.0,0.4892,0.1088,0.4760,0.0882,
350.0,0.4871,0.1106,0.4754,0.0874,
400.0,0.4858,0.1105,0.4742,0.0885,
450.0,0.4821,0.1117,0.4737,0.0879,
500.0,0.4799,0.1121,0.4719,0.0894,
550.0,0.4784,0.1139,0.4715,0.0890,
600.0,0.4769,0.1155,0.4693,0.0909,
650.0,0.4747,0.1165,0.4690,0.0905,
700.0,0.4733,0.1177,0.4672,0.0921,
750.0,0.4727,0.1182,0.4670,0.0918,
800.0,0.4719,0.1198,0.4651,0.0934,
850.0,0.4683,0.1208,0.4650,0.0932,
900,0.4671,0.1215,,,
950,0.4652,0.1230,,,
